[main] fuzz harness up, mode=scaler
[main] sandbox note: VCPDRM open is MACF-denied (iokit-open-user-client VCPDRMUserClient); mach-lookup com.apple.sprr / com.apple.jitbox exist but are sandbox-gated (seen in kernel log)
[open] AppleM2ScalerCSCDriver -> conn 0x7303
[scaler] conn 0x7303, s1 278 s2 282
[probe12] SetNotificationPort -> 0x00000000
[sweep] v97: full IOKit surface sweep
[sweep] svc: TypeC [*] | IOPortFeaturePowerSource | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/nub-spmi-a0@D4908000/AppleSPMIController/spmi-hpm0@C/AppleHPMARMSPMI/AppleHPMDeviceHALType3@C/Port-USB-C@1/Power In/TypeC [*]
[sweep] svc: AppleDockChannel | AppleDockChannel | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dockchannel-mtp@EAB00000/AppleDockChannel
[sweep] svc: mtp-transport | AppleDockChannelDevice | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dockchannel-mtp@EAB00000/AppleDockChannel/mtp-transport
[sweep] svc: AppleCredentialManager | AppleCredentialManager | IOService:/IOResources/AppleCredentialManager
[sweep] svc: AppleS5L8940XI2CController | AppleS5L8940XI2CController | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/i2c3@9501C000/AppleS5L8940XI2CController
[sweep] svc: AppleS5L8940XI2CController | AppleS5L8940XI2CController | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/i2c2@95018000/AppleS5L8940XI2CController
[sweep] svc: AppleHapticsSupportLEAP | AppleHapticsSupportLEAP | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/haptics-support-interface/AppleHapticsSupportLEAP
[sweep] svc: AppleFirmwareUpdateKext | AppleFirmwareUpdateKext | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/haptics-support-interface/AppleHapticsSupportLEAP/AppleFirmwareUpdateKext
[sweep] svc: AppleFirmwareUpdateKext | AppleFirmwareUpdateKext | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/haptics-support-interface/AppleHapticsSupportLEAP/AppleFirmwareUpdateKext
[sweep] svc: DCPAVSACController | DCPAVSACController | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/dcp-sac-controller/DCPAVSACController
[sweep] svc: AppleH16PlatformErrorHandler | AppleH16PlatformErrorHandler | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/error-handler@10100000/AppleH16PlatformErrorHandler
[sweep] svc: CoreAnalyticsHub | CoreAnalyticsHub | IOService:/IOResources/CoreAnalyticsHub
[sweep] svc: IOAudioCodecs | IOAudioCodecs | IOService:/IOResources/IOAudioCodecs
[sweep] svc: CoreAnalyticsMessenger | CoreAnalyticsMessenger | IOService:/IOResources/CoreAnalyticsHub/CoreAnalyticsMessenger
[sweep] svc: IOHDIXController | IOHDIXController | IOService:/IOResources/IOHDIXController
[sweep] svc: CCDataStream | CCDataStream | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/bluetooth@F/BTDebug/CCPipe/CCDataStream
[sweep] svc: CCLogStream | CCLogStream | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wlan/AppleOLYHAL/CCPipe/CCLogStream
[sweep] svc: CCLogStream | CCLogStream | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wlan/AppleOLYHAL/CCPipe/CCLogStream
[sweep] svc: CCPipe | CCDataPipe | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/bluetooth@F/BTDebug/CCPipe
[sweep] svc: CCPipe | CCLogPipe | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wlan/AppleOLYHAL/CCPipe
[sweep] svc: CCPipe | CCLogPipe | IOService:/AppleARMPE/arm-io@10F00000/AppleH16IO/wlan/AppleOLYHAL/CCPipe
