Capture Timestamp,T,P : Percent Cmd_DoPreempt,WO: Ops p 0/1/2/3,WL: SumLatency p 0/1/2/3,WM: MaxLatency p 0/1/2/3,RO: Ops p 0/1/2/3,RL: SumLatency p 0/1/2/3,RM: MaxLatency p 0/1/2/3,E: Band Erases,F: Host Flushes,HR: Host Reads,HW: Host Writes,NR: Nand Reads,NW: Nand Writes,NUR: Nand Util Reads,NUW: Nand Util Writes,CW: Clog Writes,IW: Ind Writes,GC: GC Writes,PR: Prefetch Reads,PH: Prefetch Hits,PN: Prefetch fetch next ranges,AW: Writes that were handled by autowrite HW,WCD: Write cache dirty percentage,WCFB: Write cache free buffers percentage,GLT: GC L-only us,W : Wear Level Bands,BI: BLKS(SLC),BU: BLKS(MLC/TLC),BL: BLKS LVL,TH: Time in Hysteresis (ms),S : Free Segs,QOS,V : IndMem Free,ML: IndMem Lvl (C)hoke (E)extreme (A)low (0)good,X : Expedite Ok/Fail,U : Host unmaps,C : Host tags(Min/Max),UT: Update Time(us),NU: Updates,ST: Search Time(us),GMT: GC Move Time(us),NS: Searches,MB: Cache/Ind MBUs,IMM: Time Spent in Immediate Cmd (us),EX: Extra senses in MSP may slow read perf,Ti: IndMem #free tilesDT: delta for +freeTile/-fre,DT,DL,DM,DU,PUM,MTH,GCS,WA,GCD,GM,UE,GB,RH,RI,RR,GCN,OBC,SAJ,MAJ,LAJ,STI,MTI,LTI,TAJ,TBJ,GBJ,GUI,GTD,DTB,ABM,FRQ,CPU,CYC,INST,L2M,L2A,SMF,SMC,SMD,BO,OS,OV,CBDR_PA,CBDR_RD,REWS,RFRS,ADFH,ADHF,VBWR,VBRR,CFDWC,CFDRC,DLWD,DLRD,UWDF,URDF,DPQBI,DPQBO,
,186092,0,0/0/0/0,0/0/0/0,0/0/0/0,45/4/40/0,13805/977/9573/0,2950/578/1353/0,0,0,1117,944,1117,776,0,0,8,3,0,0,0,0,100,1,48,0,0,575,3425,0/0,0,7925,0,29448008,0,0/0,0,0/5,591,102,265,0,97,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,9,55794,37838,68,634,1,0,0/0,0,0,0,0,0,274,266,653,813,25,999,73,296,1153,774,2526,2129,0,0,
,186195,0,0/0/2/0,0/0/200/0,0/0/107/0,4/0/12/0,3576/0/3785/0,1196/0/1295/0,0,0,562,157,562,576,0,0,0,0,0,0,0,0,94,0,50,0,0,575,3425,0/0,0,8124,0,29447944,0,0/0,24,0/5,1594,300,76,0,17,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,22122,13370,64,211,1,0,0/0,0,0,0,0,0,96,120,4,22,24,147,29,263,38,193,304,474,0,0,
,186294,0,0/0/0/0,0/0/0/0,0/0/0/0,52/2/18/0,8222/269/2940/0,328/150/204/0,0,0,417,0,417,0,0,0,0,0,0,0,0,0,0,0,50,0,0,575,3425,0/0,0,8124,0,29447944,0,0/0,0,0/5,0,0,242,0,72,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,21146,13774,13,323,1,0,0/0,0,0,0,0,0,0,0,283,0,0,0,12,45,432,0,428,4,0,0,
,186394,0,0/0/0/0,0/0/0/0,0/0/0/0,70/2/10/0,21531/934/2010/0,2927/703/809/0,0,0,385,1029,385,864,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8120,0,29447944,0,0/0,0,0/5,117,8,283,0,85,20/13,0,4,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,6,38551,23402,45,611,1,0,0/0,0,0,0,0,0,387,483,356,1029,97,1230,47,191,408,870,2115,2628,0,0,
,186493,0,0/0/0/0,0/0/0/0,0/0/0/0,49/5/16/0,8084/682/2374/0,520/152/196/0,0,0,527,0,527,0,0,0,0,0,0,0,0,0,0,0,49,0,0,575,3425,0/0,0,8119,0,29447944,0,0/0,0,0/2,0,0,216,0,72,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,21643,14344,14,354,1,0,0/0,0,0,0,0,0,0,0,427,0,0,0,14,51,545,0,540,5,0,0,
,186593,0,0/0/0/0,0/0/0/0,0/0/0/0,84/10/16/0,13357/1423/2209/0,1496/200/187/0,0,0,420,225,420,488,0,0,8,3,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8120,0,29447888,0,0/0,16,0/3,980,196,326,0,112,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,9,59210,42586,64,687,1,0,0/0,0,0,0,0,0,48,0,330,102,1,226,64,281,447,483,740,716,0,0,
,186692,0,0/0/0/0,0/0/0/0,0/0/0/0,12/13/4/0,7348/2613/671/0,1257/396/180/0,0,0,1090,59,1090,0,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8084,0,29447888,0,0/0,0,0/5,0,0,111,0,31,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,19728,13226,19,165,1,0,0/0,0,0,0,0,0,0,0,1072,19,0,59,20,72,1109,8,1159,78,0,0,
,186791,0,0/0/0/0,0/0/0/0,0/0/0/0,11/6/10/0,2332/809/1697/0,480/173/227/0,0,0,280,3,280,0,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8080,0,29447888,0,0/0,0,0/5,0,0,83,0,31,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,1,599,2,12239,8463,5,138,1,0,0/0,0,0,0,0,0,0,0,185,3,0,3,6,22,291,0,292,5,0,0,
,186890,0,0/0/0/0,0/0/0/0,0/0/0/0,23/0/13/0,8322/0/2777/0,1196/0/828/0,0,0,1131,36,1131,0,0,0,0,0,0,0,0,0,100,0,50,0,0,575,3425,0/0,0,8065,0,29447888,0,0/0,0,0/5,0,0,88,0,39,20/13,0,8,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,3,18182,13273,5,194,1,0,0/0,0,0,0,0,0,0,0,1075,36,0,36,12,27,1151,0,1177,46,0,0,
,186990,0,0/0/0/0,0/0/0/0,0/0/0/0,5/7/36/0,5000/1052/6384/0,1499/202/616/0,0,0,760,1192,760,1152,0,0,0,0,0,0,0,0,100,0,49,0,0,575,3425,0/0,0,8122,0,29447864,0,0/0,0,0/5,995,205,147,0,51,20/13,0,0,29,0/0,0,0/0,0/0,0/0,4/62,0/0/0,0,0/0/0/0/0/0,0,0,86,0,0,0,0,0,0,0,0,6695,6695,4000,0,2147483647,2147483647,50,0,0,0,599,10,64799,53947,48,413,1,0,0/0,0,0,0,0,0,290,48,520,1085,1,1201,86,226,786,1161,2412,2436,0,0,
