#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
93,0,(Idle),4,3761,3985,N,Y,-,N,-,474,287,vmd,(---),1,170,0.80
94,0,(Idle),4,3217,3217,-,-,-,N,-,472,497,PhotosFileProvider,(---),0,101,0.00
95,0,(Idle),3,3137,3137,-,-,-,N,-,472,478,PhotosFileProvider,(---),0,113,0.00
96,0,(Idle),4,3153,3249,-,-,-,N,-,472,376,PhotosFileProvider,(---),0,153,0.00
97,0,(Idle),71,116001,136161,-,-,-,N,-,740,494,GLEGram,(---),0,105,0.00
98,0,(Idle),3,4513,4513,N,Y,-,N,-,735,482,avconferenced,(---),3,110,3.11
99,0,(Idle),15,4721,4865,N,Y,-,N,-,433,265,voicebankingd,(---),5,172,3.07
100,0,(Idle),6,7057,7313,N,Y,-,N,-,26,43,axassetsd,(---),18,183,9.91
101,0,(Idle),3,3345,3473,N,Y,-,N,-,709,461,gamecontrollerd,(---),0,126,0.01
102,0,(Idle),6,4161,4545,N,Y,-,N,-,586,371,wifianalyticsd,(---),40,154,26.35
103,0,(Idle),5,5169,6401,N,Y,-,N,-,668,427,mediaplaybackd,(---),59,140,42.65
104,0,(Idle),3,2401,2401,N,Y,-,N,-,735,483,AudioConverterService,(---),0,109,0.02
105,0,(Idle),3,2353,2353,N,Y,-,N,-,735,484,AudioConverterHardenedService,(---),0,109,0.02
106,0,(Idle),4,3297,3441,N,Y,-,N,-,427,262,installd,(---),52,173,29.98
107,0,(Idle),6,3489,3585,N,Y,-,N,-,500,306,recentsd,(---),32,168,18.98
108,0,(Idle),6,4065,6353,N,Y,-,N,-,698,454,callhistoryd,(---),0,130,0.07
109,0,(Idle),3,2161,2305,N,Y,-,N,-,234,150,misd,(---),3,182,2.11
110,0,(Idle),3,3217,3217,-,-,-,N,-,472,589,PhotosFileProvider,(---),0,90,0.00
111,0,(Idle),5,6017,6113,N,Y,-,N,-,466,283,intelligencecontextd,(---),44,171,25.92
112,0,(Idle),3,7057,7297,N,Y,-,N,-,552,343,splashboardd,(---),21,163,12.88
113,0,(Idle),6,5249,5761,N,Y,-,N,-,441,269,ind,(---),36,172,20.93
114,0,(Idle),3,4417,4977,N,Y,-,N,-,284,179,fmflocatord,(---),92,181,51.14
115,0,(Idle),3,2481,2577,N,Y,-,N,-,829,590,AudioConverterService,(---),0,90,0.02
116,0,(Idle),3,2705,2881,N,Y,-,N,-,206,172,AudioConverterService,(---),43,181,23.91
117,0,(Idle),3,3057,3201,N,Y,-,N,-,96,78,ManagedSettingsAgent,(---),43,183,23.68
118,0,(Idle),6,4209,4385,N,Y,-,N,-,393,244,eligibilityd,(---),59,176,33.61
119,0,(Idle),4,3153,3281,N,Y,-,N,-,405,378,TrialArchivingService,(---),23,153,15.14
120,0,(Idle),3,2481,2609,N,Y,-,N,-,62,61,seld,(---),21,183,11.89
121,0,(Idle),3,2465,3025,N,Y,-,N,-,502,307,spaceattributiond,(---),35,168,20.90
122,0,(Idle),3,2145,2209,N,Y,-,N,-,128,94,AppleCredentialManagerDaemon,(---),5,183,2.83
123,0,(Idle),3,1649,1937,N,Y,-,N,-,613,389,deleted_helper,(---),98,152,64.61
124,0,(Idle),6,3505,3665,N,Y,-,N,-,643,409,progressd,(---),0,144,0.57
125,0,(Idle),7,6913,7009,N,Y,-,N,-,230,148,CommCenterMobileHelper,(---),128,182,70.35
