## smcDiagnose 5.00 200
BMW2 , 0x00 00 00 00 
BNCB , 1.000000
BNSC , 72.000000
BNUM , 1.000000
BOCV , 0.000000
BOSD , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
BOSW , 0x00 
BPCC , 0x01 01 
BPRS , 0x00 00 00 00 55 ce ac e0  a3 ee 5c 7f ff 20 45 6e  90 84 6c 4a 37 e2 23 c0  a4 f4 a4 93 55 55 55 55  
BQCC , 719.000000
BQD1 , 2294.000000
BQX1 , 4289.000000
BR00 , 79.000000
BR01 , 110.000000
BR02 , 126.000000
BR03 , 109.000000
BR04 , 126.000000
BR05 , 98.000000
BR06 , 122.000000
BR07 , 128.000000
BR08 , 133.000000
BR09 , 146.000000
BR0C , 115.000000
BR0W , 115.000000
BR10 , 155.000000
BR11 , 152.000000
BR12 , 170.000000
BR13 , 333.000000
BR14 , 1516.000000
BR1W , 115.000000
BRC0 , 0.000000
BRC1 , 0.000000
BROS , 50.000000
BRSC , 75.000000
BRSS , 74.000000
BSFC , 0.000000
BT0C , 0.000000
BT0L , 1.000000
BT0V , 0.000000
BTHC , 0.000000
BTHW , 0.000000
BTIL , 2660.000000
BTRA , 0x0a 0a 0a 0a 0a 0a 0a 14  28 28 1e 1e 14 14 14 32  32 28 28 1e 1e 14 3c 3c  32 32 28 28 14 82 82 64  64 46 28 14 82 82 64 64  46 28 14 82 82 64 64 46  28 14 82 82 64 64 46 28  14 82 82 64 64 46 28 14  82 82 64 64 46 28 
BTRO , 0.000000
BTRS , 100.000000
BTRT , 0.700000
BTSI , 2660.000000
BTSV , 4300.000000
BTTA , 0x0a 00 0f 00 12 00 16 00  25 00 2d 00 2d 00 2d 00  2d 00 2d 00 
BTTC , 10.000000
BTTI , 4.000000
BTTS , 0.000000
BTVA , 0xb8 0b e6 0f 04 10 36 10  68 10 cc 10 80 11 
BTVC , 7.000000
BTVI , 5.000000
BTVL , 4300.000000
BUIC , 74.000000
BUPT , 0xc9 00 00 00 00 00 00 00  
BVCA , 0xc6 00 f8 00 2a 01 e9 03  ff ff 
BVHA , 0x1c 02 8f 02 02 03 75 03  ff ff 
BVVA , 0x80 11 6c 11 58 11 44 11  12 11 
