    #  priority             fds  footprint  footprint_peak  dirty  PE  frozen  docked  swappable  coalition_id  pid  name                                                      flags  total_dirty_time  process_lifetime  percent_dirty
   81    0 (Idle)             6     1841KB          2193KB    N     Y     -       N        -               468  284  misagent                                                                       0s              171s          0.03%
   82    0 (Idle)             8     3361KB          3393KB    N     Y     -       N        -               466  449  AppIntentsLiveEntityService                                                    0s              131s          0.02%
   83    0 (Idle)            14     4417KB          5041KB    N     Y     -       N        -               666  426  postersyncd                                                                    9s              140s          6.84%
   84    0 (Idle)             3     2529KB          2529KB    N     Y     -       N        -               705  464  AudioConverterService                                                          0s              126s          0.02%
   85    0 (Idle)             3     3633KB          3665KB    N     Y     -       N        -                32   46  terminusd                                                                      3s              183s          2.18%
   86    0 (Idle)             6     2833KB          2865KB    N     Y     -       N        -               134  473  AppIntentsLiveEntityService                                                    0s              120s          0.05%
   87    0 (Idle)             8     4497KB          4593KB    N     Y     -       N        -               557  347  translationd                                                                  42s              161s         26.17%
   88    0 (Idle)             3     2529KB          2545KB    N     Y     -       N        -                30  476  UARPAssetManagerServiceMobileAsset                                             0s              119s          0.02%
   89    0 (Idle)             3     4577KB          4769KB    -     -     -       N        -               336  448  PrivateMLClientInferenceProviderService                                        0s              131s          0.00%
   90    0 (Idle)             7     2385KB          2401KB    N     Y     -       N        -               836  593  revisiond                                                                      0s               89s          0.09%
   91    0 (Idle)             3     2337KB          2369KB    N     Y     -       N        -                30   45  uarpassetmanagerd                                                              5s              183s          3.10%
   92    0 (Idle)             3     4529KB          4737KB    N     Y     -       N        -               360  221  com.apple.NeighborhoodActivityConduitService                                   4s              179s          2.55%
   93    0 (Idle)             4     3761KB          3985KB    N     Y     -       N        -               474  287  vmd                                                                            1s              170s          0.80%
   94    0 (Idle)             4     3217KB          3217KB    -     -     -       N        -               472  497  PhotosFileProvider                                                             0s              101s          0.00%
   95    0 (Idle)             3     3137KB          3137KB    -     -     -       N        -               472  478  PhotosFileProvider                                                             0s              113s          0.00%
